Inspection ID,Opening date,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Type,Inspection Date,Results,Violations
1931356,2009/09/03,7-ELEVEN # 37622A,7 ELEVEN,2442933,Grocery Store,Risk 1 (High),4 W JACKSON BLVD,",IL,",License Re-inspection,05/20/2016,Pass,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: SW ENTRY DOOR REPAIRED AND NOW RODENT PROOFED.
VIOLATION CORRECTED | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED NO BACKFLOW DEVICE ON WATER LINE OF COFFEE MACHINE.MUST INSTALL."
1931245,2015/01/01,THE ALLERTON HOTEL,THE ALLERTON HOTEL,2313729,Restaurant,Risk 1 (High),701 N Michigan AVE,"Chicago,IL,60611",Canvas,"May 19, 2016",Pass,"43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments: INSTRUCTED TO STORE WIPING CLOTHS IN A SANITIZER SOLUTION IN BETWEEN USE. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: THE FOLLOWING ITEMS MUST BE DETAIL CLEANED TO REMOVE FOOD DEBRIS AND/OR DUST BUILDUP IN THE KITCHEN: CAN OPENER BLADE, SIDES OF COOKING EQUIPMENT, LOWER COMPARMENT OF THE DEEP FRYERS, EXTERIOR PANINI PRESS (DUST), CLEAN POT, PAN, AND PLATE STORAGE RACK COVERED IN DUST, AND THE CABINETS UNDER THE FOOD LINE WHERE DIRTY COOKING DISHES AND UTENSILS ARE STORED. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OBSERVED ENCRUSTED FOOD DEBRIS BUILDUP ON THE FLOOR UNDER THE FOOD STORAGE RACKS IN THE WALK-IN FREEZER. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN."
1770930,2007/09/08,7-ELEVEN # 37622A,7 ELEVEN,2442936,Grocery Store,Risk 3 (Low),4 W JACKSON BLVD,",IL,",Licesne,05/17/2016,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: OBSERVED SW ENTRY DOOR NOT RODENT PROOFED AT BOTTOM AREA OF DOOR APPROX 1/4 INCH.MUST REPAIR.SERIOUS VIOLATION 7-38-020. NO CITATION ISSUED"
1770904,2012/02/07,7-ELEVEN # 37622A,7 ELEVEN,2442933,Grocery Store,Risk 1 (High),4 W JACKSON BLVD,",IL,",License,05/17/2016,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: OBSERVED SW ENTRY DOOR NOT RODENT PROOFED AT BOTTOM AREA OF DOOR APPROX 1/4 INCH.MUST REPAIR.SERIOUS VIOLATION 7-38-020.
NO CITATION ISSUED. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED NO BACKFLOW DEVICE ON WATER LINE OF COFFEE MACHINE.MUST INSTALL."
1770883,2012/03/28,THE DINING ROOM AT KENDALL NFP,THE DINING ROOM,1963511,Restaurant,Risk 1 (High),900 N NORTH BRANCH ST,"Chicago,IL,60642",Canvass,05/16/2016,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: FOUND 25 LIVE SMALL FLIES ON THE WALLS/CEILING OF THE REAR BACK BEVERAGE STATION. INSTRUCTED TO REMOVE/ELIMINATE SMALL FLIES, CLEAN THE AFFECTED AREA AND RECOMMENDED CONTACTING PEST CONTROL FOR SERVICES. SERIOUS VIOLATION 7-38-020. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: INSTRUCTED TO CLEAN AND MAINTAIN THE INTERIOR OF THE ICE MACHINE. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: INSTRUCTED TO CLEAN AND MAINTAIN THE INTERIOR OF ALL OF THE FLOOR DRAINS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: INSTRUCTED TO CLEAN AND MAINTAIN THE WALLS/CEILING IN ROOM #333 AND REPLACE THE WATER STAIN CEILING TILE IN THE REAR BEVERAGE STATION AREA."
1770873,2013/01/23,KENDALL COLLEGE,KENDALL COLLEGE/CULINARY SCHOOL KITCHEN CLASSROOMS,2013962,COLLEGE,Risk 1 (High),900 N NORTH BRANCH ST,"Chicago,IL,60642",Canvass,05/16/2016,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: FOUND MICE ACTIVITY AND SMALL LIVE FLIES ON THE PREMISES. OBSERVED 15 MICE DROPPINGS IN THE SIDE STORAGE AREA, 10 IN THE DISHROOM AND 5 IN THE MOP SINK CLOSET IN THE LARGE DRY STORAGE AREA ON THE 1ST FL. 
-FOUND SMALL LIVE FLIES IN THE FOLLOWING CLASSROOMS: 
30 IN #317, 5 IN #320B, 5 IN #342 AND 15 IN #342. 
INSTRUCTED TO REMOVE ALL DROPPINGS AND SMALL LIVE FLIES, CLEAN THE AFFECTED AREAS AND RECOMMENDED CONTACTING PEST CONTROL FOR ASSISTANCE. SERIOUS VIOLATION 7-38-020 | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: INSTRUCTED TO SHORTEN THE SANITIZER HOSE AT ALL OF THE 3-COMPARTMENT SINKS SO THAT IT DO NOT REST IN THE WATER WHEN SINK IS FILLED. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: INSTRUCTED TO CLEAN AND MAINTAIN THE INTERIOR/EXTERIOR OF THE COOKING EQUIPMENT IN CLASSROOM #120A, 330GM, 342 AND CLEAN THE CAN OPENER IN CLASSROOM 330GM. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: INSTRUCTED TO CLEAN AND MAINTAIN THE INTERIOR OF ALL FLOOR DRAINS AND REPLACE THE MISSING COVING TO THE LOWER AREA AROUND THE MOPSINK IN THE DRY STORAGE AREA. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: INSTRUCTED TO CLEAN AND MAINTAIN THE LIGHT SHIELDS INSIDE THE WALK IN COOLER/FREEZERS IN THE DRY STORAGE AREA. CLEAN THE CEILING TILES/VENTS IN CLASS ROOMS #330GM, #340 AND #342. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: INSTRUCTED TO FIX THE LOOSE HOT WATER KNOB ON THE EXPOSED HAND WASHING SINK BY THE 3-COMPARTMENT SINK IN FRONT OF CLASSROOM #317. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: OBSERVED LARGE PRODUCE AND CARDBOARD BOXES CLUTTERING THE FRONT CORNER OF THE DRY STORAGE ENTRANCE. INSTRUCTED TO REMOVE AND KEEP AREA CLUTTER FREE TO ELIMINATE POTENTIAL HARBORAGE SITES FOR RODENTS/INSECTS."
1770599,2010/11/06,BOP BAR KOREAN FOOD,BOP BAR KOREAN FOOD,2438187,Mobile Food Preparer,Risk 2 (Medium),239 GOLF MILL CENTER STE 322,"NILES NILES,IL,60714",License,05/11/2016,Pass,
1770523,2008/08/25,A-MI-THA RESTAURANT,A-MI-THA RESTAURANT,1143174,Restaurant,Risk 1 (HIGH),6207 N MILWAUKEE AVE,"Chicago,IL,60646",Canvass,05/10/2016,Pass,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: INSTRUCTED TO INSTALL EXPOSED HAND SINK WITH HOT AND COLD RUNNING WATER EQUIPPED WITH SOAP AND HAND DRYING DEVICE OR PAPER TOWEL IN FRONT PREP AREA. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: INSTRUCTED TO DETAIL CLEAN AND REMOVE UNNECESSARY ARTICLES AND CLUTTER STORED IN FRONT PREP AREA AND IN REAR STORAGE ROOM TO PREVENT PEST HARBORAGE. MUST REORGANIZE. USABLE ITEMS MUST BE STORED 6' OFF THE FLOOR FOR EASY ACCESS ON CLEANING. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: INSTRUCTED TO CLEAN AND PAINT PREP SHELVES WITH RUST ACCUMULATION IN REAR PREP AREA. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: INSTRUCTED TO PROPERLY LABEL BOTTLED FOOD FOR SALE (KIMCHI AND FERMENTED GARLIC) INSIDE DISPLAY COOLER. (NAME OF BUSINESS/ADDRESS/INGREDIENTS ETC)"
1770368,2006/06/14,SUN FRESH MARKET & DELI,SUN FRESH MARKET & DELI,2021825,Grocery Store,Risk 1 (High),3640 N CENTRAL AVE,"CCHICAGO,IL,60634",Canvass,05/09/2016,Pass w/ Conditions,"3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: OBSERVED POTENTIALLY HAZARDOUS FOODS NOT BEING STORED AT PROPER TEMP INSIDE WALK-IN PRODUCE COOLER, EGGS READING 47-53'F, ALL PRODUCT DUMPED AND DENATURED AT A COST OF $650.00 AND APPROX., 445 POUNDS, INSTRUCTED TO MAINTAIN PROPER TEMPS OF ALL POTENTIALLY HAZARDOUS FOODS 40'F AND BELOW, 
 
CRITICAL CITATION: 7-38-005 (A) | 2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: LARGE WALK-IN PRODUCE COOLER REAR STORAGE AREA IN POOR REPAIR, NOT MAINTAINING COLD TEMPS 40'F AND BELOW, COOLER AIR TEMP READING 55'F, INSTRUCTED TO RESTRICT USING COOLER FOR POTENTIALLY HAZARDOUS FOODS, COOLER MUST BE USED FOR ONLY PRODUCE, UNTIL COOLER IS MAINTAINING A TEMP 40'F AND BELOW, 
 
CRITICAL CITATION: 7-38-005 (A) | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS NOT CLEAN UNDER AND BEHIND EQUIPMENT, FIRST FLOOR AND BASEMENT AREAS, INSTRUCTED TO CLEAN AND BETTER MAINTAIN, | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CEILING STAINED IN FRONT OF STORE, INSTRUCTED TO REPLACE, | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: LIGHT OUT REAR AREA SMALL WALK-IN COOLER, INSTRUCTED TO REPLACE, | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: COUNTER AREA BY MEAT DISPLACE CASE NOT CLEAN, AND INTERIOR OF CHICKEN COOLER NOT CLEAN, INSTRUCTED TO CLEAN AND SANITIZE ALL AREAS, | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments:  INSTRUCTED TO CLEAN, REMOVE UNNECESSARY ARTICLES AND UNUSED EQUIPMENT STORED IN BASEMENT STORAGE AREA. USABLE ITEMS MUST BE STORED 6' OFF THE FLOOR AND 6' AWAY FROM WALL FOR EASY ACCESS ON CLEANING."
1764114,2013/06/30,THE GODDESS GOLD COAST,THE GODDESS AND GROCER,2397687,Restaurant,Risk 1 (High),1127 N STATE ST,"CCHICAGO,IL,60610",Canvass Re-inspection,05/04/2016,Pass,"30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: INSTRUCTED TO PROVIDE PROPER LABELS FOR PRE-PACKAGED FOODS OFFERED FOR SALE INCLUDE NAME OF PRODUCT,NAME,ADDRESS AND ZIP CODE OF THE MANUFACTURER,NET CONTENTS OF PACKAGE,A LIST OF INGREDIENTS. 
 | 16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: VIOLATION CORRECTED.ICE MACHINE WAS CLEANED IN DETAIL BY EMPIRE COOLER SERVICE,PROOF SHOWN AT THIS TIME. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: CORRECTED."
