Inspection ID	valid
1166336	valid
1336071	valid
1336042	valid
1296407	valid
1114849	valid
1138971	valid
1335694	invalid
1335548	invalid
1162231	valid
1110331	valid
1198838	valid
1188609	valid
1296347	valid
1110325	valid
1188596	valid
1296331	valid
1343236	valid
1327142	valid
1327097	valid
1114772	valid
1277787	valid
1305246	valid
1324368	valid
1324369	valid
1322432	valid
1326421	valid
1114725	valid
1326319	valid
1326243	valid
1326221	valid
1098842	valid
1321935	invalid
1098829	valid
1154857	valid
1277680	valid
1286239	valid
1277675	valid
1277671	valid
1290268	valid
1321419	valid
1277649	valid
1271499	valid
1277643	valid
1072236	valid
1277638	valid
1321230	valid
1324241	valid
1279336	valid
1296253	valid
1154709	valid
1154704	valid
660003	valid
1279281	valid
1300401	valid
1300367	valid
1300297	valid
1300212	valid
1286000	valid
1286206	valid
537529	valid
1285840	valid
1279241	valid
1271393	valid
1285755	valid
1285737	valid
1285708	valid
1285667	valid
1188364	valid
1285444	valid
1235037	invalid
1235018	invalid
1235096	invalid
1098558	valid
1235091	invalid
1234845	invalid
1098538	valid
1227509	valid
1234525	invalid
1277310	valid
1234521	invalid
1234523	invalid
1234520	invalid
1202381	valid
1227482	valid
1234424	invalid
1098481	valid
1096400	valid
1134440	valid
1188282	valid
1230194	invalid
1096390	valid
1230153	invalid
1150535	invalid
1230082	invalid
1088221	valid
1088220	valid
1150519	valid
1227265	valid
1229732	valid
1138328	valid
1134310	valid
1096351	invalid
1134302	valid
1214997	valid
1215083	valid
1076297	valid
1076281	valid
1076273	valid
1076271	valid
1214556	valid
1076265	valid
1076264	valid
1076263	valid
1076262	valid
1076261	valid
1076260	valid
1076259	valid
1076258	valid
1227206	valid
1138233	valid
679872	valid
679868	valid
679519	valid
679332	valid
1214253	valid
679489	valid
679300	valid
679984	valid
1227299	valid
1227298	valid
1227297	valid
585974	valid
670914	valid
670817	valid
670805	valid
670768	valid
670733	valid
670479	valid
670354	invalid
670285	valid
577789	valid
577788	valid
539625	valid
557690	valid
660132	valid
660105	valid
660094	valid
537834	valid
660017	valid
660006	valid
